"target","name","club","bowstyle","gender","experience",
"1A","Stuart  Taylor","Keele University","Compound","M","E",""
"1B","Amyce Aurora-Smith","University of Bath","Compound","W","E",""
"2A","Rhiannon  Norfolk","University of Bath","Compound","W","E",""
"2B","Mary Perrott","University of Portsmouth ","Compound","W","E",""
"2D","David Williams","University of Southampton","Compound","M","E",""
"3A","Rachael Hutchison","University of Warwick","Longbow","W","E",""
"3B","Stuart Archer","University of Sheffield","Recurve","M","E",""
"3C","James Powell","University of East Anglia","Recurve","M","E",""
"3D","Robert Storrar","Durham University","Recurve","M","E",""
"4A","Christopher Guerin","University of Warwick","Longbow","M","E",""
"4B","Rory  Campbell","University of Sheffield","Recurve","M","E",""
"4C","Edward Jackson","Imperial College London ","Recurve","M","E",""
"4D","Sara Emanuelsson","Durham University","Barebow","W","E",""
"5A","Alan Shek","Durham University","Recurve","M","N",""
"5B","Hugh Williams","University of Sheffield","Recurve","M","E",""
"5C","Matt Howard","Keele University","Recurve","M","E",""
"5D","Andrew Norris","Imperial College London ","Barebow","M","E",""
"6A","Jamie Lawson-May","Durham University","Recurve","M","N",""
"6B","Peter Storey","University of Sheffield","Recurve","M","E",""
"6C","Dan Ellingham","Keele University","Recurve","M","E",""
"6D","Aaron Fawcett","University of Plymouth","Recurve","M","E",""
"7A","Sam Spring","Durham University","Recurve","M","N",""
"7B","Tom Watson","University of Sheffield","Recurve","M","E",""
"7C","James Robbins","Keele University","Recurve","M","E",""
"7D","Michael Bend","University of Plymouth","Recurve","M","E",""
"8A","Oban Lewsley","Durham University","Recurve","W","N",""
"8B","Jack Barber","University of Sheffield","Recurve","M","E",""
"8C","James Nicol","Keele University","Recurve","M","E",""
"8D","Callum Tomsett","University of Plymouth","Recurve","M","N",""
"9A","Sophie Low","Durham University","Recurve","W","N",""
"9B","Joe Blatch","University of Sheffield","Barebow","M","E",""
"9C","Dan Mullen","Keele University","Recurve","M","E",""
"9D","Kayleigh Bunker","University of Plymouth","Recurve","W","E",""
"10A","Holly Whild","Durham University","Recurve","W","N",""
"10B","Edward Cramphorn","University of Sheffield","Barebow","M","E",""
"10C","Rebecca Holland","University of Plymouth","Recurve","W","E",""
"10D","Lana Innes","Keele University","Recurve","W","E",""
"11A","Jennie Millar","Durham University","Recurve","W","N",""
"11B","Jack Sobey","Oxford University","Recurve","M","E",""
"11C","Adrian Leithead","Keele University","Recurve","M","E",""
"11D","Willow Jinks","University of Sheffield","Recurve","W","E",""
"12A","Thomas  Webb","Imperial College London ","Barebow","M","N",""
"12B","Daniel Jennison","Keele University","Recurve","M","E",""
"12C","Albarra Ali","Queen Mary University of London","Recurve","M","E",""
